Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion
25;08:00;01;2016;;17;11;3,8;355,49;83,678;-0,106;02:26;9;0,020;0,099;2609;258;0,020;-0,007;351,84;85,479;0,051;;;;0,000;;0;0,019;0,051;169,157;-0,055;0,099;0,044;332,25;30,678;-0,063;0,004;0,098;;;0,012;0,035;199,835;-0,118;0,197;0,079;1,95;0,168;;0;301,77;0,136;0,237;0,373;#ÁVALOR!;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
26;08:00;01;2016;0;15;9;2,6;355,48;83,625;-0,053;03:00;9;0,020;0,117;2586;303;0,014;0,064;351,83;85,428;-0,051;00:17;9;;0,009;;0;0,013;-0,042;169,053;-0,104;0,126;0,022;332,25;30,678;0,000;0,004;0,004;;;0,008;0,004;199,731;-0,104;0,130;0,026;1,95;0,168;878;148;301,77;0,136;0,270;0,406;0,033;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
27;08:00;01;2016;7,4;15;5;1,9;355,48;83,625;0,000;05:00;9;0,020;0,182;2480;451;0,010;0,182;351,84;85,479;0,051;;;;0,000;;0;0,010;0,051;169,104;0,051;0,182;0,233;332,26;30,710;0,032;0,004;0,004;;;0,006;0,036;199,814;0,083;0,186;0,269;1,95;0,168;;0;301,87;0,152;0,300;0,452;0,046;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
28;08:00;01;2016;0,1;14;5;0,7;355,45;83,466;-0,159;03:00;20;0,020;0,236;2504;591;0,004;0,077;351,85;85,530;0,051;;;;0,000;;0;0,004;0,051;168,996;-0,108;0,236;0,128;332,26;30,710;0,000;0,004;0,004;;;0,002;0,004;199,706;-0,108;0,240;0,132;2,15;0,184;931;172;301,86;0,149;0,360;0,509;0,057;1,8;24;0;0,154;0;24;0;0,000;0,35;24;0;0,030;0;0,184;;;
29;08:00;01;2016;;13;6;0,5;355,45;83,466;0,000;;;0,020;0,020;;0;0,003;0,020;351,85;85,530;0,000;;;;0,000;;0;0,003;0,000;168,996;0,000;0,020;0,020;332,26;30,710;0,000;0,004;0,004;;;0,002;0,004;199,706;0,000;0,024;0,024;2,15;0,186;987;183;301,84;0,147;0,210;0,357;-0,152;1,8;24;0;0,156;0;24;0;0,000;0,35;24;0;0,030;0;0,186;;;
30;08:00;01;2016;37;13;5;1,0;355,49;83,678;0,212;00:10;9;0,020;0,025;;0;0,005;0,237;351,89;85,736;0,206;;;;0,000;;0;0,005;0,206;169,414;0,418;0,025;0,443;332,30;30,834;0,124;0,004;0,004;;;0,003;0,128;200,248;0,542;0,029;0,571;2,15;0,186;;0;;;;;;1,8;24;0;0,156;0;24;0;0,000;0,35;24;0;0,030;0;0,186;;;
31;08:00;01;2016;;14;6;0,4;355,48;83,625;-0,053;02:00;9;0,020;0,085;;0;0,002;0,032;351,91;85,839;0,103;;;;0,000;;0;0,00206;0,103;169,464;0,050;0,085;0,135;332,28;30,772;-0,062;0,004;0,098;;;0,001;0,036;200,236;-0,012;0,183;0,171;2,15;0,186;;0;;;;;;1,8;24;0;0,156;0;24;0;0,000;0,35;24;0;0,030;0;0,186;;;
1;8:00;02;2016;;15;5;0,7;355,46;83,519;-0,106;02:25;9;0,020;0,098;2574;0;0,004;-0,008;351,92;85,891;0,052;;;;0,000;;0;0,004;0,052;169,410;-0,054;0,098;0,044;332,26;30,710;-0,062;0,004;0,145;;;0,002;0,083;200,120;-0,116;0,243;0,127;2,15;0,186;;0;301,87;0,152;0,190;0,342;0,342;1,8;24;0;0,156;0,0;24;0;0,000;0,35;24;0;0,030;0;0,186;;;
2;8:00;02;2016;;20;6;1,2;355,46;83,519;0,000;01:30;9;0,020;0,069;;0;0,006;0,069;351,91;85,839;-0,052;03:30;9;;0,113;;0;0,006;0,061;169,358;-0,052;0,182;0,130;332,28;30,772;0,062;0,004;0,004;;;0,004;0,066;200,130;0,010;0,186;0,196;2,05;0,181;1205;218;301,84;0,147;0,230;0,377;0,035;1,7;24;0;0,151;0,0;24;0;0,000;0,35;24;0;0,030;0;0,181;;;
3;8:00;02;2016;;19;6;2,3;355,46;83,519;0,000;02:00;9;0,020;0,085;2516;214;0,012;0,085;351,89;85,736;-0,103;03:16;9;;0,106;;0;0,012;0,003;169,255;-0,103;0,191;0,088;332,30;30,834;0,062;0,004;0,004;;;0,007;0,066;200,089;-0,041;0,195;0,154;2,05;0,177;;0;301,84;0,147;0,290;0,437;0,060;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;
