Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion;;;;;;;;;;;;;
21;8:00;01;2015;14,9;8;1;0,1;359,32;105,901;0,127;7:00;9,0;0,020;0,247;1954;483;0,001;0,374;356,52;112,778;0,316;;;;0,000;;0;0,001;0,316;218,679;0,443;0,247;0,690;337,37;48,981;0,201;0,004;0,004;;;0,000;0,205;267,660;0,644;0,251;0,895;1,85;0,160;796;127;300,97;0,059;0,540;0,599;0,114;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
22;8:00;01;2015;;9;4;1,1;359,37;106,219;0,318;1:00;9,0;0,020;0,052;2036;106;0,007;0,370;356,54;112,904;0,126;;;;0,000;;0;0,007;0,126;219,123;0,444;0,052;0,496;337,41;49,143;0,162;0,004;0,004;;;0,004;0,166;268,266;0,606;0,056;0,662;1,85;0,160;819;131;300,78;0,042;0,483;0,525;-0,074;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
23;8:00;01;2015;;10;2;1,1;359,41;106,474;0,255;4:00;9,0;0,020;0,150;;0;0,007;0,405;356,58;113,158;0,254;;;;0,000;;0;0,007;0,254;219,632;0,509;0,150;0,659;337,44;49,264;0,121;0,004;0,004;;;0,004;0,125;268,896;0,630;0,154;0,784;1,85;0,160;983;157;300,86;0,049;0,472;0,521;-0,004;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
24;8:00;01;2015;;10;1;0,9;359,41;106,474;0,000;4:00;9,0;0,020;0,150;;0;0,006;0,150;356,61;113,348;0,190;;;;0,000;;0;0,006;0,190;219,822;0,190;0,150;0,340;337,47;49,386;0,122;0,004;0,004;;;0,004;0,126;269,208;0,312;0,154;0,466;1,75;0,152;;0;;;;;;1,4;20;0;0,122;0,0;24;0;0,000;0,35;24;0;0,030;0;0,152;;;;;;;;;;;;;;;;
25;8:00;01;2015;;11;0;1,5;359,40;106,410;-0,064;4:00;9,0;0,020;0,150;;0;0,010;0,086;356,62;113,412;0,064;;;;0,000;;0;0,010;0,064;219,822;0,000;0,150;0,150;337,50;49,507;0,121;0,004;0,004;;;0,006;0,125;269,329;0,121;0,154;0,275;1,75;0,151;;0;;;;;;1,4;24;0;0,121;0,0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;;;;;;;;;;;;;;
26;8:00;01;2015;;15;1;0,9;359,41;106,474;0,064;4:00;9,0;0,020;0,150;2048;307;0,006;0,214;356,64;113,539;0,127;;;;0,000;;0;0,006;0,127;220,013;0,191;0,150;0,341;337,52;49,589;0,082;0,004;0,004;;;0,004;0,086;269,602;0,273;0,154;0,427;1,75;0,151;948;143;301,40;0,099;0,472;0,571;#ÁVALOR!;1,4;24;0;0,121;0,0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;;;;;;;;;;;;;;
27;8:00;01;2015;;15;1;1,4;359,41;106,474;0,000;4:00;9,0;0,020;0,150;;0;0,009;0,150;356,66;113,666;0,127;;;;0,000;;0;0,009;0,127;220,140;0,127;0,150;0,277;337,54;49,670;0,081;0,004;0,004;;;0,006;0,085;269,810;0,208;0,154;0,362;1,75;0,151;1030;156;301,31;0,090;0,557;0,647;0,076;1,4;24;0;0,121;0,0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;;;;;;;;;;;;;;
28;8:00;01;2015;;16;1;1,2;359,43;106,602;0,128;;;0,020;0,020;2024;40;0,008;0,148;356,66;113,666;0,000;;;;0,000;;0;0,008;0,000;220,268;0,128;0,020;0,148;337,56;49,751;0,081;0,004;0,004;;;0,005;0,085;270,019;0,209;0,024;0,233;1,75;0,151;1006;152;301,37;0,096;0,417;0,513;-0,134;1,4;24;0;0,121;0,0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;;;;;;;;;;;;;;
29;8:00;01;2015;;15;4;2,5;359,43;106,602;0,000;4:00;9,0;0,020;0,150;2024;304;0,016;0,150;356,67;113,730;0,064;;;;0,000;;0;0,016;0,064;220,332;0,064;0,150;0,214;337,57;49,792;0,041;0,004;0,004;;;0,010;0,045;270,124;0,105;0,154;0,259;1,75;0,151;1427;216;300,89;0,052;0,513;0,565;0,052;1,4;24;0;0,121;0,0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;;;;;;;;;;;;;;
30;8:00;01;2015;;14;4;1,4;359,45;106,730;0,128;;;0,020;0,020;;0;0,009;0,148;356,70;113,921;0,191;;;;0,000;;0;0,009;0,191;220,651;0,319;0,020;0,339;337,58;49,833;0,041;0,004;0,004;;;0,006;0,045;270,484;0,360;0,024;0,384;1,75;0,151;1006;152;300,93;0,056;0,338;0,394;-0,171;1,4;24;0;0,121;0,0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;;;;;;;;;;;;;;
31;8:00;01;2015;0,2;14;12;0,3;359,45;106,730;0,000;;;0,020;0,020;;0;0,002;0,020;356,70;113,921;0,000;;;;0,000;;0;0,00192;0,000;220,651;0,000;0,020;0,020;337,58;49,833;0,000;0,004;0,004;;;0,001;0,004;270,484;0,000;0,024;0,024;1,75;0,151;;0;;;;;;1,4;24;0;0,121;0,0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;;;;;;;;;;;;;;
1;8:00;03;2015;;16;7;2,0;359,91;109,701;0,066;3:00;9,0;0,020;0,117;;0;0,013;0,183;357,10;116,491;0,065;;;;0,000;;0;0,013;0,065;226,192;0,131;0,117;0,248;338,28;52,731;0,042;0,004;0,004;;;0,008;0,046;278,923;0,173;0,121;0,294;1,75;0,151;;0;;;;;;1,4;24;0;0,121;0,0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;;;;;;;;;;;;;;
